sku_id,warehouse_id,records,total_units_sold,avg_units_sold,avg_inventory_level,avg_reorder_point,avg_inventory_buffer,avg_lead_time,avg_forecast_error,avg_absolute_forecast_error,promotion_rate,reorder_risk_rate,risk_segment
SKU_18,WH_5,365,7533,20.638356164383563,541.4054794520548,394.0,147.4054794520548,13.0,-0.31989041095890414,2.449205479452055,0.0958904109589041,0.06575342465753424,Highest risk
SKU_12,WH_2,365,7351,20.13972602739726,517.1753424657534,370.0,147.17534246575343,6.0,-0.11263013698630145,2.4616164383561645,0.0958904109589041,0.06301369863013699,Highest risk
SKU_14,WH_2,365,7413,20.30958904109589,419.36986301369865,268.0,151.36986301369862,14.0,-0.1321643835616439,2.2756164383561646,0.12602739726027398,0.06301369863013699,Highest risk
SKU_20,WH_1,365,7508,20.56986301369863,453.1698630136986,295.0,158.16986301369863,9.0,-0.05049315068493156,2.410328767123288,0.10684931506849316,0.06301369863013699,Highest risk
SKU_22,WH_5,365,7280,19.945205479452056,470.64383561643837,326.0,144.64383561643837,4.0,-0.18956164383561652,2.514054794520548,0.13150684931506848,0.06301369863013699,Highest risk
SKU_38,WH_3,365,7443,20.39178082191781,494.65479452054797,344.0,150.65479452054794,8.0,0.03808219178082195,2.335178082191781,0.1095890410958904,0.06301369863013699,Highest risk
SKU_7,WH_4,365,7377,20.21095890410959,406.76164383561644,253.0,153.76164383561644,4.0,0.027917808219178157,2.3944931506849314,0.07671232876712329,0.06301369863013699,Highest risk
SKU_8,WH_4,365,7423,20.336986301369862,546.3068493150685,395.0,151.3068493150685,7.0,0.06849315068493149,2.2883287671232875,0.1178082191780822,0.06301369863013699,Highest risk
SKU_14,WH_4,365,7185,19.684931506849313,496.06575342465754,343.0,153.06575342465754,10.0,0.03926027397260282,2.3394246575342463,0.10136986301369863,0.06027397260273973,Highest risk
SKU_17,WH_5,365,7381,20.221917808219178,475.25479452054793,321.0,154.25479452054793,8.0,0.1081095890410959,2.4222465753424656,0.06575342465753424,0.06027397260273973,Highest risk
SKU_20,WH_3,365,7274,19.92876712328767,472.44657534246574,319.0,153.44657534246576,3.0,-0.21279452054794518,2.397123287671233,0.136986301369863,0.06027397260273973,Highest risk
SKU_21,WH_5,365,7371,20.194520547945206,459.1315068493151,309.0,150.13150684931506,8.0,-0.23005479452054803,2.283041095890411,0.12054794520547946,0.06027397260273973,Highest risk
SKU_30,WH_1,365,7406,20.29041095890411,498.7178082191781,336.0,162.7178082191781,3.0,-0.2946849315068493,2.29172602739726,0.10136986301369863,0.06027397260273973,Highest risk
SKU_29,WH_4,365,7248,19.85753424657534,493.7671232876712,334.0,159.76712328767124,14.0,0.006986301369862952,2.3862739726027398,0.07671232876712329,0.06027397260273973,Highest risk
SKU_18,WH_4,365,7556,20.7013698630137,416.75616438356167,250.0,166.75616438356164,6.0,-0.1725479452054794,2.4454794520547947,0.11506849315068493,0.06027397260273973,Highest risk
SKU_19,WH_5,365,7255,19.876712328767123,441.4219178082192,281.0,160.42191780821918,7.0,0.04295890410958897,2.3486027397260276,0.10410958904109589,0.06027397260273973,Highest risk
SKU_4,WH_3,365,7337,20.101369863013698,442.52876712328765,279.0,163.52876712328768,7.0,-0.172082191780822,2.471808219178082,0.07671232876712329,0.06027397260273973,Highest risk
SKU_39,WH_3,365,7346,20.126027397260273,409.6684931506849,252.0,157.66849315068492,4.0,0.039616438356164456,2.326684931506849,0.08767123287671233,0.06027397260273973,Highest risk
SKU_33,WH_4,365,7563,20.720547945205478,434.5232876712329,274.0,160.52328767123288,3.0,0.09361643835616451,2.439808219178082,0.11506849315068493,0.06027397260273973,Highest risk
SKU_37,WH_4,365,7402,20.279452054794522,493.3315068493151,320.0,173.33150684931508,13.0,-0.21271232876712337,2.400109589041096,0.12602739726027398,0.06027397260273973,Highest risk
SKU_37,WH_1,365,7304,20.01095890410959,505.65205479452055,342.0,163.65205479452055,3.0,0.0862191780821917,2.3447945205479455,0.12054794520547946,0.06027397260273973,Highest risk
SKU_36,WH_2,365,7323,20.063013698630137,524.0520547945206,360.0,164.05205479452056,10.0,-0.0063561643835616174,2.364876712328767,0.08767123287671233,0.06027397260273973,Highest risk
SKU_32,WH_2,365,7396,20.263013698630136,420.92602739726027,256.0,164.92602739726027,2.0,-0.16950684931506846,2.139150684931507,0.11232876712328767,0.06027397260273973,Highest risk
SKU_14,WH_5,365,7423,20.336986301369862,423.5123287671233,259.0,164.51232876712328,6.0,-0.21671232876712324,2.3145205479452056,0.12876712328767123,0.06027397260273973,Highest risk
SKU_15,WH_5,365,7333,20.09041095890411,430.5780821917808,279.0,151.57808219178082,14.0,-0.14252054794520558,2.3299726027397263,0.09041095890410959,0.06027397260273973,Highest risk
SKU_2,WH_2,365,7251,19.865753424657534,530.6876712328767,377.0,153.6876712328767,8.0,-0.1685753424657535,2.3834794520547944,0.11232876712328767,0.06027397260273973,Highest risk
SKU_35,WH_5,365,7374,20.202739726027396,436.82465753424657,277.0,159.82465753424657,2.0,-0.09578082191780822,2.339013698630137,0.0958904109589041,0.06027397260273973,Highest risk
SKU_37,WH_5,365,7325,20.068493150684933,404.57260273972605,249.0,155.57260273972602,3.0,-0.25232876712328767,2.2570410958904112,0.08493150684931507,0.06027397260273973,Highest risk
SKU_46,WH_2,365,7352,20.14246575342466,452.5452054794521,288.0,164.54520547945205,7.0,-0.09205479452054788,2.3158356164383562,0.10684931506849316,0.06027397260273973,Highest risk
SKU_45,WH_1,365,7403,20.28219178082192,412.16712328767125,256.0,156.16712328767125,8.0,-0.25591780821917803,2.417397260273973,0.1232876712328767,0.06027397260273973,Highest risk
SKU_48,WH_3,365,7391,20.24931506849315,514.2301369863013,351.0,163.23013698630137,11.0,-0.041287671232876744,2.419260273972603,0.09041095890410959,0.06027397260273973,Highest risk
SKU_42,WH_2,365,7292,19.97808219178082,491.22739726027396,336.0,155.22739726027396,5.0,0.08799999999999994,2.4309589041095894,0.08767123287671233,0.06027397260273973,Highest risk
SKU_49,WH_1,365,7431,20.35890410958904,378.9808219178082,220.0,158.9808219178082,6.0,0.1397534246575342,2.2224383561643832,0.0958904109589041,0.06027397260273973,Highest risk
SKU_48,WH_5,365,7334,20.09315068493151,430.1698630136986,275.0,155.16986301369863,11.0,-0.006630136986301364,2.284986301369863,0.08493150684931507,0.06027397260273973,Highest risk
SKU_5,WH_4,365,7286,19.96164383561644,494.53972602739725,334.0,160.53972602739725,14.0,-0.0023561643835616057,2.4363835616438356,0.0958904109589041,0.06027397260273973,Highest risk
SKU_30,WH_3,365,7363,20.172602739726027,469.6849315068493,297.0,172.68493150684932,4.0,-0.06808219178082188,2.228958904109589,0.11506849315068493,0.057534246575342465,Upper-mid risk
SKU_26,WH_2,365,7332,20.087671232876712,437.5342465753425,273.0,164.53424657534248,5.0,-0.4039178082191781,2.3253972602739728,0.09863013698630137,0.057534246575342465,Upper-mid risk
SKU_28,WH_1,365,7404,20.284931506849315,382.57260273972605,208.0,174.57260273972602,10.0,-0.15413698630136988,2.4096986301369863,0.08767123287671233,0.057534246575342465,Upper-mid risk
SKU_3,WH_2,365,7375,20.205479452054796,447.6027397260274,270.0,177.6027397260274,13.0,-0.3328493150684931,2.489780821917808,0.08767123287671233,0.057534246575342465,Upper-mid risk
SKU_3,WH_5,365,7318,20.04931506849315,421.06301369863013,253.0,168.06301369863013,7.0,-0.011260273972602656,2.1177260273972602,0.13150684931506848,0.057534246575342465,Upper-mid risk
SKU_2,WH_4,365,7335,20.095890410958905,449.85479452054796,290.0,159.85479452054796,6.0,-0.032794520547945114,2.3996438356164385,0.07671232876712329,0.057534246575342465,Upper-mid risk
SKU_23,WH_1,365,7251,19.865753424657534,394.9068493150685,239.0,155.90684931506848,8.0,0.12517808219178078,2.356684931506849,0.0958904109589041,0.057534246575342465,Upper-mid risk
SKU_20,WH_2,365,7401,20.276712328767122,506.3232876712329,336.0,170.3232876712329,9.0,0.05717808219178081,2.259917808219178,0.09315068493150686,0.057534246575342465,Upper-mid risk
SKU_21,WH_3,365,7377,20.21095890410959,457.3041095890411,283.0,174.3041095890411,10.0,0.2746849315068493,2.427013698630137,0.12602739726027398,0.057534246575342465,Upper-mid risk
SKU_23,WH_2,365,7261,19.893150684931506,476.84383561643835,312.0,164.84383561643835,12.0,-0.01095890410958906,2.568986301369863,0.09315068493150686,0.057534246575342465,Upper-mid risk
SKU_23,WH_5,365,7459,20.435616438356163,543.3150684931506,383.0,160.31506849315068,3.0,-0.028410958904109558,2.5057260273972606,0.0958904109589041,0.057534246575342465,Upper-mid risk
